node_count,repetitions,cell_count,conflict_cell_count,cell_count_range,cell_count_cv,makespan_distance_m,total_distance_m,mean_runtime_s,runtime_std_s
1,5,109,0,0,0.0,123.08392353617444,123.08392353617444,0.015841760000330395,0.0007851059671554987
2,5,109,9,1,0.009174311926605505,63.40325658820325,126.55829441227978,0.019057979999342934,0.0005085652046087428
3,5,109,15,6,0.0686542639775035,47.12755670767932,127.26719566568525,0.02938756000075955,0.0005521639988210977
4,5,109,15,2,0.030427750370233025,35.031599995765845,122.35819078227888,0.025016719999257475,0.0005732291396483601
